id,status,event_id,frequency,amplitude,phase,current_offset,v_start,v_end,temperature,added_at,cell_id_id
379,neque sapien placerat ante,elementum nullam varius,80585553.74,71.04,198.25,9.3,61.21,9.03,506.2,2024-05-31T01:38:11Z,379
380,libero non mattis pulvinar,arcu libero rutrum,38436089.08,63.1,245.91,22.17,87.44,70.3,2033.82,2024-09-14T04:48:36Z,380
381,quam sollicitudin vitae,quisque ut erat curabitur,54348864.29,51.69,301.94,26.95,5.39,11.4,5146.73,2025-02-07T19:27:07Z,381
382,hac habitasse platea,vitae quam suspendisse,79299902.13,16.4,251.86,55.84,62.25,14.69,2746.15,2024-09-16T10:18:33Z,382
383,aliquam augue quam sollicitudin,ultricies eu nibh quisque,6002619.2,74.61,249.12,93.72,86.63,1.47,382.17,2024-07-02T11:51:01Z,383
384,luctus et ultrices,quam suspendisse potenti nullam porttitor,1795822.81,73.28,139.11,36.11,5.26,61.09,3665.2,2024-08-25T19:59:04Z,384
385,natoque penatibus et,dictumst maecenas ut massa quis,9564157.42,77.54,139.62,55.44,83.0,44.67,2308.11,2025-01-24T15:40:21Z,385
386,purus aliquet at feugiat,dapibus dolor vel est,95293666.33,63.08,236.82,50.73,18.44,5.95,3088.95,2024-12-07T12:21:05Z,386
387,ultrices phasellus id sapien in,ultrices posuere cubilia,52508743.35,63.91,331.41,17.95,85.09,3.19,3192.68,2024-10-26T22:37:30Z,387
388,praesent blandit nam nulla,at dolor quis,2970407.56,88.49,221.01,65.41,51.89,62.74,1370.85,2024-11-19T14:58:26Z,388
389,diam in magna bibendum imperdiet,venenatis turpis enim,28000556.37,46.02,312.9,49.88,1.27,53.09,1528.21,2024-07-21T10:09:40Z,389
390,a odio in hac habitasse,porttitor pede justo eu,76995004.4,17.44,332.3,45.9,77.98,95.88,-9.58,2024-06-15T02:49:54Z,390
391,nec nisi vulputate nonummy,nibh in quis,86556237.57,15.5,12.18,22.95,42.89,77.84,2178.26,2024-10-27T09:42:14Z,391
392,id pretium iaculis diam erat,duis bibendum felis sed interdum,77138456.83,55.27,229.25,15.87,90.75,72.31,1500.08,2024-08-07T05:02:53Z,392
393,massa id nisl,morbi quis tortor id nulla,7077088.01,66.36,19.12,42.41,14.95,34.66,3101.71,2024-11-22T16:42:55Z,393
394,in quam fringilla rhoncus mauris,pharetra magna vestibulum aliquet ultrices,16076318.51,67.09,344.29,24.1,48.04,56.22,2936.39,2024-12-13T07:36:26Z,394
395,accumsan odio curabitur,erat volutpat in congue,36754512.16,36.17,99.88,17.78,85.94,54.5,1394.16,2024-09-23T07:04:25Z,395
396,nam dui proin leo,pede venenatis non sodales sed,78079026.02,77.31,176.44,65.98,32.45,86.98,381.46,2024-04-09T23:24:26Z,396
397,tempus semper est,ut nunc vestibulum ante ipsum,88407636.15,92.49,297.77,91.8,33.44,55.15,4427.11,2024-02-15T18:15:44Z,397
398,sit amet eleifend pede libero,dictumst etiam faucibus,73498622.54,8.88,206.6,83.29,1.56,87.65,1188.56,2024-11-20T14:06:32Z,398
399,nec euismod scelerisque,orci vehicula condimentum,28519916.12,82.44,126.46,28.44,47.39,15.19,1766.63,2024-05-31T01:08:53Z,399
400,libero ut massa,penatibus et magnis dis parturient,74088884.27,88.99,208.17,89.11,25.05,64.74,1064.22,2024-10-31T03:56:23Z,400
401,dapibus dolor vel est,vulputate elementum nullam varius,2417623.05,2.04,350.61,68.53,3.98,77.33,1750.4,2024-03-24T22:19:21Z,401
402,sapien urna pretium,ipsum integer a nibh,78086372.02,39.84,313.99,20.56,47.79,43.71,3943.86,2024-12-05T01:11:30Z,402
403,leo pellentesque ultrices mattis,id ornare imperdiet sapien urna,53599827.44,5.85,158.75,58.03,82.5,1.43,3095.22,2024-12-11T09:34:26Z,403
404,in imperdiet et commodo vulputate,enim blandit mi,56115595.41,26.44,53.65,28.99,8.28,63.78,2953.85,2025-01-17T14:05:51Z,404
405,nec molestie sed,diam neque vestibulum eget,79726905.14,81.33,133.97,74.21,33.59,13.0,2774.4,2024-12-10T23:36:11Z,405
406,tristique in tempus sit amet,elit proin interdum mauris,74082052.39,46.76,17.23,29.91,84.45,34.49,728.84,2024-05-20T23:52:33Z,406
407,congue etiam justo etiam,hac habitasse platea,81997502.54,91.15,38.5,46.66,70.27,37.43,1286.86,2024-10-18T12:13:15Z,407
408,in hac habitasse,urna ut tellus nulla,40758542.46,79.68,311.61,16.61,56.45,31.86,2687.34,2024-05-17T12:31:38Z,408
409,nam ultrices libero non mattis,nulla elit ac nulla,67466753.91,75.73,181.56,92.27,18.3,43.16,2030.6,2024-05-30T02:07:03Z,409
410,vitae ipsum aliquam non,tincidunt in leo maecenas,89932233.94,32.42,243.02,0.3,55.43,88.91,3130.87,2024-08-08T06:03:46Z,410
411,metus arcu adipiscing,felis sed interdum venenatis turpis,40471684.47,81.09,34.77,71.0,74.86,18.54,2798.75,2024-09-25T18:48:42Z,411
412,at nibh in hac,congue diam id ornare,72565899.89,26.28,235.99,15.22,68.21,33.82,3279.3,2024-07-05T19:22:28Z,412
413,nulla neque libero convallis eget,at vulputate vitae nisl aenean,95341279.52,46.84,108.97,36.75,3.97,23.98,1745.28,2024-11-21T21:41:28Z,413
414,convallis nulla neque,duis consequat dui nec,4741500.23,31.14,58.6,43.88,7.55,54.72,2506.86,2024-07-10T14:52:16Z,414
415,nunc nisl duis bibendum,massa id lobortis convallis,8507602.82,90.7,53.63,55.52,37.67,29.87,1479.17,2024-03-08T17:55:26Z,415
416,quam sollicitudin vitae consectetuer eget,iaculis diam erat,21997288.91,77.42,228.04,21.72,2.25,76.04,3684.91,2024-08-27T18:12:17Z,416
417,a ipsum integer,pellentesque ultrices mattis,37945512.58,88.63,180.47,35.59,88.74,3.3,5493.46,2024-09-30T04:03:22Z,417
418,in quis justo maecenas,congue vivamus metus,53926052.69,62.74,301.14,36.81,13.4,66.43,3580.99,2025-02-06T09:26:36Z,418
419,laoreet ut rhoncus aliquet,pede justo lacinia eget,72539710.78,9.2,224.3,50.08,83.26,67.49,306.32,2024-12-13T15:04:02Z,419
420,faucibus cursus urna ut,odio odio elementum,27346354.29,16.5,17.97,85.18,11.42,37.89,2269.57,2024-07-07T05:48:40Z,420
421,nunc proin at,nulla dapibus dolor vel est,75580932.95,54.15,295.89,14.79,51.69,94.78,5314.49,2024-08-19T19:12:21Z,421
422,sapien in sapien,phasellus id sapien in sapien,66711167.49,29.66,278.73,43.75,7.48,16.24,3621.52,2025-01-20T05:45:55Z,422
423,elit proin risus praesent,libero nam dui proin leo,21295398.86,1.65,319.84,82.65,83.23,52.11,1408.62,2024-12-28T01:44:18Z,423
424,integer pede justo lacinia eget,vulputate nonummy maecenas,69035057.82,86.9,205.53,94.01,81.73,3.05,4650.32,2024-12-14T07:37:47Z,424
425,est phasellus sit amet,lectus vestibulum quam,80021586.12,9.54,235.39,94.41,22.18,51.38,3054.04,2024-12-10T11:45:46Z,425
426,hac habitasse platea dictumst,vel est donec odio justo,2169309.39,43.9,229.88,80.35,30.1,27.85,465.17,2024-09-23T01:08:54Z,426
427,porttitor lacus at,lacus morbi quis tortor id,88787484.7,6.38,56.01,68.36,2.31,58.66,2246.32,2024-04-29T18:58:05Z,427
428,eleifend pede libero,id nulla ultrices aliquet,37966359.32,65.25,270.73,87.08,95.96,44.45,1710.82,2024-04-11T22:57:43Z,428
429,nullam orci pede venenatis,lacus at turpis donec posuere,23843603.47,12.12,65.79,72.81,1.45,98.6,5503.37,2024-06-16T10:41:46Z,429
430,nulla pede ullamcorper augue a,quis orci nullam molestie nibh,649558.42,14.68,309.92,3.33,88.69,81.56,4060.79,2024-08-15T15:49:24Z,430
431,pretium nisl ut volutpat sapien,ullamcorper purus sit,79025143.2,3.73,112.66,58.8,87.42,23.79,527.7,2024-05-02T10:20:13Z,431
432,nibh in lectus pellentesque,aenean auctor gravida sem praesent,96402574.05,2.52,11.61,26.98,11.32,81.59,1523.52,2024-04-01T18:01:58Z,432
433,donec odio justo sollicitudin,in consequat ut,61713674.9,71.62,250.58,28.61,61.51,81.76,125.02,2024-07-28T18:14:37Z,433
434,lectus pellentesque eget nunc,vulputate ut ultrices,70619042.68,68.97,35.32,54.03,5.24,88.78,5257.54,2024-12-10T16:08:35Z,434
435,faucibus accumsan odio curabitur convallis,nullam orci pede,4381329.96,30.67,112.22,5.69,54.89,5.46,2735.93,2024-12-20T04:30:04Z,435
436,justo nec condimentum,vitae mattis nibh ligula,47803612.06,37.02,25.89,20.24,83.26,87.34,1102.97,2024-05-02T03:16:11Z,436
437,in quis justo maecenas,maecenas pulvinar lobortis est phasellus,71362776.88,11.15,302.03,40.6,48.91,31.55,4386.68,2024-12-05T18:36:13Z,437
438,lobortis est phasellus,justo in blandit ultrices,36102982.1,24.62,76.05,62.51,61.31,18.98,3647.82,2024-02-22T17:12:27Z,438
439,eleifend pede libero quis orci,nisi at nibh,20115950.52,49.36,40.17,44.07,17.32,48.17,1993.94,2024-02-12T06:36:44Z,439
440,ante ipsum primis,at vulputate vitae nisl,50409854.59,20.76,209.14,14.91,22.51,85.74,4765.92,2024-06-04T01:24:11Z,440
441,non sodales sed tincidunt eu,aenean auctor gravida sem praesent,2809910.78,16.77,104.3,9.62,66.93,46.5,1713.1,2024-07-06T06:40:40Z,441
442,nunc purus phasellus in felis,erat id mauris vulputate elementum,70817439.06,35.96,215.03,3.58,67.97,30.09,967.62,2024-08-15T01:59:25Z,442
443,semper porta volutpat quam,duis consequat dui,84278399.96,37.37,275.72,65.25,24.28,30.91,4527.7,2024-04-11T09:51:07Z,443
444,aenean lectus pellentesque eget,augue vel accumsan tellus,20844092.74,32.58,25.98,44.78,99.99,77.54,2590.85,2024-07-19T14:10:11Z,444
445,penatibus et magnis dis parturient,in libero ut massa volutpat,58317410.35,49.11,158.98,36.45,38.34,41.32,912.8,2024-08-31T08:40:48Z,445
446,et ultrices posuere,eget elit sodales scelerisque mauris,23403812.6,95.12,293.6,13.89,19.4,97.31,1128.38,2024-07-19T16:58:01Z,446
447,quis turpis eget elit sodales,quis turpis sed ante,4870812.55,8.72,238.51,7.91,22.52,9.8,3787.51,2024-06-22T22:34:06Z,447
448,dapibus dolor vel,ut erat curabitur gravida,16267870.98,73.69,269.76,41.72,74.49,53.89,3421.91,2024-08-27T12:46:30Z,448
449,libero non mattis pulvinar nulla,tristique tortor eu pede,49790006.68,42.19,108.46,63.34,3.01,70.88,614.31,2024-04-23T02:43:15Z,449
450,curabitur at ipsum ac tellus,vestibulum quam sapien,14684060.97,27.84,119.47,68.93,62.62,11.04,3350.57,2024-10-20T03:33:48Z,450
451,lobortis sapien sapien non mi,in purus eu magna vulputate,10130720.14,89.77,178.47,2.7,93.7,7.09,1872.03,2024-11-01T15:16:28Z,451
452,mattis egestas metus,nulla ultrices aliquet maecenas leo,88720083.6,9.37,142.69,25.23,96.63,11.88,2612.92,2024-06-27T23:30:04Z,452
453,posuere nonummy integer non velit,duis faucibus accumsan,56783610.78,79.47,231.31,85.43,86.18,70.18,3958.21,2024-08-08T11:34:23Z,453
454,sit amet lobortis sapien sapien,eget nunc donec quis orci,89269016.19,15.61,120.65,16.35,74.53,26.9,988.29,2024-08-02T00:42:43Z,454
455,morbi non quam nec dui,varius integer ac leo,89135548.83,51.0,210.95,1.67,39.6,96.03,-230.31,2024-12-09T09:16:13Z,455
456,pede justo lacinia eget tincidunt,iaculis congue vivamus metus arcu,20547845.41,49.04,230.79,80.48,25.2,0.84,2215.94,2025-01-25T22:58:22Z,456
457,ut volutpat sapien,sed augue aliquam,99907.13,63.38,29.46,25.57,30.42,99.18,759.84,2024-12-07T23:57:08Z,457
458,ac leo pellentesque ultrices mattis,sagittis sapien cum sociis,76756059.62,30.67,143.2,4.51,51.57,35.47,3270.78,2025-01-12T21:30:50Z,458
459,amet nulla quisque arcu,congue risus semper porta volutpat,62150555.11,19.83,62.7,22.49,52.79,83.54,5490.74,2024-07-25T20:07:53Z,459
460,ultrices posuere cubilia curae duis,duis consequat dui,74263228.52,40.75,200.15,70.33,46.53,50.51,3152.65,2024-09-27T19:57:45Z,460
461,aliquam sit amet diam in,mauris enim leo rhoncus,27513799.05,58.84,205.26,62.56,48.79,35.68,755.26,2025-01-25T19:25:51Z,461
462,rutrum rutrum neque aenean,erat nulla tempus vivamus,53754365.54,68.09,299.93,15.37,22.4,70.83,2585.35,2024-03-18T21:44:38Z,462
463,in ante vestibulum,purus sit amet nulla quisque,13107160.07,66.62,15.99,66.0,26.2,89.59,4358.1,2024-05-01T01:27:21Z,463
464,lorem vitae mattis,maecenas tristique est,46637259.44,4.64,302.7,77.62,44.23,9.13,1955.38,2024-10-31T19:58:36Z,464
465,mattis pulvinar nulla,ultrices posuere cubilia curae,7217120.73,96.09,184.4,80.6,9.67,75.4,41.69,2025-01-22T02:05:33Z,465
466,eu sapien cursus,volutpat erat quisque erat eros,83569142.87,6.31,179.87,75.26,76.98,53.82,2857.3,2024-02-15T15:16:18Z,466
467,sodales scelerisque mauris sit,cursus urna ut,74972534.48,13.03,127.12,53.45,83.53,4.68,2473.22,2024-11-07T09:28:19Z,467
468,tristique est et tempus semper,imperdiet nullam orci pede,61661682.83,10.78,252.65,47.66,6.34,5.66,820.65,2024-10-02T19:11:56Z,468
469,eros elementum pellentesque,rhoncus mauris enim,78231805.49,36.65,71.41,25.09,77.23,41.58,4618.34,2024-05-03T03:10:05Z,469
470,cubilia curae nulla dapibus,sit amet eleifend pede,9817715.37,0.28,150.36,7.91,65.66,39.79,1778.52,2024-04-01T00:04:43Z,470
471,praesent blandit lacinia erat,vel dapibus at,19348920.3,67.56,350.95,30.78,75.2,53.42,4971.03,2024-05-22T19:39:28Z,471
472,natoque penatibus et,sagittis sapien cum,17200901.72,29.75,350.14,34.82,57.0,76.84,5059.32,2025-02-10T21:56:05Z,472
473,lorem ipsum dolor,pellentesque at nulla suspendisse,69120725.03,18.04,286.49,79.48,43.33,25.64,1568.59,2024-02-13T07:02:56Z,473
474,congue eget semper rutrum,congue etiam justo,25871746.43,15.18,275.63,28.98,33.49,28.16,2394.87,2024-06-22T18:40:23Z,474
475,nulla dapibus dolor,porta volutpat erat quisque,46203224.61,21.17,270.01,14.8,7.63,80.48,4284.42,2024-04-16T03:09:45Z,475
476,nulla elit ac,id justo sit amet,91956274.63,35.38,144.77,19.43,56.71,62.45,1092.77,2024-12-25T16:28:32Z,476
477,pede lobortis ligula sit amet,posuere nonummy integer non velit,8312575.5,65.01,130.73,83.4,4.35,93.29,3009.57,2024-12-21T17:22:28Z,477
478,at nibh in,eu sapien cursus vestibulum proin,58054987.61,38.6,258.39,73.37,3.28,94.76,5527.75,2025-02-09T05:27:50Z,478
479,odio cras mi pede malesuada,fermentum justo nec condimentum neque,26409892.78,65.11,9.01,94.33,89.21,34.02,3764.97,2024-04-14T01:02:32Z,479
480,scelerisque mauris sit amet,arcu adipiscing molestie,33068014.06,0.12,159.87,18.3,23.29,43.83,1728.56,2024-11-13T22:43:47Z,480
481,nec euismod scelerisque quam turpis,mi nulla ac enim in,26477146.91,70.14,116.75,94.01,39.64,88.19,548.74,2024-10-12T23:07:09Z,481
482,augue vestibulum ante ipsum primis,in ante vestibulum,58819440.18,87.87,25.27,66.9,55.86,16.22,4551.43,2024-07-17T18:22:48Z,482
483,proin risus praesent lectus vestibulum,semper sapien a libero nam,63217182.5,75.83,356.91,0.9,96.22,5.92,1776.65,2024-07-09T15:34:38Z,483
484,viverra pede ac,quam a odio in,66506420.36,80.54,197.06,91.99,12.05,21.95,1187.03,2024-06-22T22:00:33Z,484
485,lobortis convallis tortor risus dapibus,at nunc commodo placerat praesent,36583286.67,71.29,96.17,91.23,62.58,60.75,2648.03,2024-11-28T05:49:37Z,485
486,aliquet massa id lobortis,tortor sollicitudin mi sit amet,43677861.67,32.87,87.35,7.46,20.16,54.93,730.61,2024-03-19T02:17:43Z,486
487,donec ut dolor,urna ut tellus,9995445.27,83.92,9.26,28.53,19.38,80.49,2991.14,2025-01-21T09:18:13Z,487
488,etiam justo etiam pretium iaculis,quis orci nullam molestie,71170531.7,66.47,152.35,2.12,76.95,41.59,3798.47,2024-07-20T08:52:04Z,488
489,iaculis justo in hac habitasse,aliquam erat volutpat in congue,88877308.24,9.45,254.13,65.34,53.15,24.27,4979.01,2024-05-17T23:38:28Z,489
490,tincidunt lacus at velit vivamus,ultrices mattis odio donec vitae,386874.78,86.81,277.44,86.75,56.24,1.0,4243.72,2024-06-10T20:45:34Z,490
491,nam congue risus semper,nec nisi volutpat,53868331.73,75.83,118.58,82.61,98.46,90.34,1495.78,2024-07-30T10:47:22Z,491
492,purus sit amet nulla quisque,a odio in hac habitasse,57975806.91,25.44,198.64,30.22,52.08,77.82,5092.73,2024-04-02T18:30:45Z,492
493,vestibulum ante ipsum primis,faucibus orci luctus et,70917237.89,64.06,33.09,46.39,13.16,51.98,5201.48,2024-03-14T20:51:53Z,493
494,nulla integer pede,eget elit sodales scelerisque mauris,98654669.22,91.84,131.76,27.45,44.48,56.88,1998.88,2024-03-13T22:48:17Z,494
495,libero non mattis pulvinar,luctus et ultrices,18197901.83,17.43,105.88,20.63,69.97,60.8,-188.54,2025-02-02T13:54:37Z,495
496,et commodo vulputate justo,tempus vivamus in felis eu,86171189.82,62.37,353.16,86.93,81.61,35.5,3249.33,2024-08-16T21:13:26Z,496
497,aenean sit amet justo,nulla tellus in,80566170.43,60.01,77.95,84.85,35.87,23.43,672.32,2024-07-07T13:29:19Z,497
498,potenti cras in purus eu,vulputate vitae nisl aenean lectus,38132471.44,13.1,128.57,26.02,59.76,65.74,4475.17,2024-08-20T01:27:40Z,498
499,et ultrices posuere,mauris enim leo rhoncus,84529858.3,90.81,27.13,65.51,96.1,65.85,1996.71,2024-11-26T00:29:42Z,499
500,vulputate vitae nisl,lacinia sapien quis libero nullam,27371151.76,33.41,261.84,88.77,22.24,16.26,1272.35,2024-12-01T03:17:16Z,500
501,purus sit amet,dis parturient montes nascetur ridiculus,53117083.43,41.05,199.87,45.29,45.88,44.96,5164.44,2024-09-30T20:44:21Z,501
502,urna ut tellus,convallis tortor risus,48080175.67,27.69,276.83,11.12,6.29,95.1,-24.98,2024-09-13T22:49:30Z,502
503,sed tristique in tempus sit,leo odio porttitor id,66152693.55,56.4,93.56,90.03,75.8,18.4,648.55,2024-03-27T05:53:22Z,503
504,elementum eu interdum eu tincidunt,tempus vivamus in,39754873.32,85.79,311.17,7.86,50.29,26.23,2794.92,2024-12-28T00:05:32Z,504
505,nulla integer pede,sagittis dui vel,80526689.96,19.62,9.38,95.1,55.95,70.78,4654.16,2024-02-23T23:47:08Z,505
506,fermentum justo nec condimentum,ligula in lacus curabitur,18990822.9,67.64,102.16,7.5,28.64,7.39,1059.03,2024-07-06T17:22:43Z,506
507,phasellus in felis,odio condimentum id luctus,36848482.45,52.07,160.34,89.06,4.16,1.14,3157.22,2024-03-22T08:25:02Z,507
508,ultrices erat tortor sollicitudin mi,massa volutpat convallis,89452240.17,34.91,98.71,61.43,27.56,30.86,1068.13,2024-12-26T04:07:27Z,508
509,pellentesque volutpat dui,est et tempus semper,31322296.14,58.15,57.54,89.9,13.33,29.17,3421.03,2024-05-11T02:09:55Z,509
510,etiam vel augue vestibulum,fusce congue diam id ornare,93424423.14,82.85,123.1,21.59,19.82,20.16,3251.89,2024-07-15T08:06:39Z,510
511,tincidunt in leo,augue a suscipit nulla elit,58718260.53,72.9,227.05,73.51,93.84,47.36,1254.32,2024-05-04T05:59:20Z,511
512,augue quam sollicitudin,in hac habitasse,27928363.33,63.77,3.21,52.11,29.61,4.9,1712.6,2024-06-13T12:03:27Z,512
513,pellentesque viverra pede ac,eu interdum eu tincidunt,17629873.25,18.8,34.69,91.02,5.48,97.69,4149.09,2024-02-12T08:26:15Z,513
514,nulla eget eros elementum,eu tincidunt in leo,31633637.18,73.18,11.61,85.23,36.6,23.88,407.22,2024-02-11T02:20:32Z,514
515,tortor risus dapibus augue,lectus in quam fringilla rhoncus,66170576.52,85.98,125.09,76.49,55.57,17.6,3217.05,2024-10-04T22:20:38Z,515
516,proin interdum mauris non,sapien quis libero nullam sit,33797031.69,27.35,334.46,66.54,22.14,66.15,3423.84,2025-01-08T21:58:06Z,516
517,id justo sit,tellus nisi eu orci mauris,11383126.1,54.29,203.19,63.91,47.8,31.8,2076.49,2024-07-03T01:29:37Z,517
518,vel nulla eget eros elementum,donec odio justo sollicitudin ut,4134001.9,93.51,153.77,70.24,48.93,19.17,354.7,2024-05-27T21:05:18Z,518
519,donec ut mauris eget massa,eu massa donec dapibus duis,17229292.22,37.9,23.63,76.6,83.14,26.08,2528.66,2025-01-24T14:05:50Z,519
520,vitae consectetuer eget rutrum at,sit amet erat nulla tempus,31829656.23,39.62,324.99,23.36,61.85,3.69,2983.64,2025-02-07T16:21:07Z,520
521,sapien a libero nam,erat tortor sollicitudin,95684832.09,49.38,103.03,66.83,16.16,99.75,288.96,2024-09-22T06:00:03Z,521
522,ut ultrices vel augue,mus etiam vel augue,9819808.23,46.22,43.13,37.33,45.73,1.03,1661.43,2025-01-15T22:49:37Z,522
523,turpis sed ante,metus sapien ut nunc,28129508.61,32.78,22.23,15.44,97.49,10.67,261.61,2024-11-18T07:14:05Z,523
524,tellus semper interdum,eget massa tempor,23831961.59,79.57,343.06,33.13,55.53,56.02,22.15,2025-01-11T22:46:33Z,524
525,tortor duis mattis,maecenas leo odio,73909903.95,13.36,146.94,17.02,27.97,98.59,2117.89,2025-02-08T13:17:27Z,525
526,sapien dignissim vestibulum vestibulum,aliquet massa id lobortis convallis,79056964.87,69.46,262.71,57.17,17.63,48.58,1431.97,2024-03-17T21:08:11Z,526
527,ligula pellentesque ultrices phasellus,lorem integer tincidunt,69126846.08,60.33,316.38,91.4,29.62,20.49,-159.54,2024-05-29T14:44:51Z,527
528,sagittis nam congue,semper rutrum nulla nunc,34370957.0,88.94,8.07,34.85,16.11,94.6,710.0,2024-12-04T15:43:10Z,528
529,pharetra magna vestibulum aliquet ultrices,maecenas rhoncus aliquam,7393095.72,75.01,150.26,70.18,44.85,95.13,-47.36,2024-11-12T13:32:21Z,529
530,sem duis aliquam convallis,eu mi nulla ac enim,16444035.29,99.06,316.61,18.7,87.43,73.63,3798.82,2024-06-01T07:56:16Z,530
531,volutpat erat quisque,id ligula suspendisse,96679222.31,2.19,20.09,68.68,73.78,2.44,-143.92,2024-11-30T13:32:06Z,531
532,duis aliquam convallis nunc,est quam pharetra magna ac,20810737.21,38.82,115.4,92.41,74.48,54.75,3375.34,2024-10-04T01:19:40Z,532
533,est phasellus sit,curabitur in libero ut,91665046.77,25.91,340.02,19.32,28.17,94.57,4321.96,2024-09-15T06:07:51Z,533
534,phasellus id sapien in sapien,integer aliquet massa,59225014.83,55.44,217.35,15.79,54.88,24.91,2904.69,2024-07-21T20:27:11Z,534
535,tortor sollicitudin mi,velit id pretium iaculis diam,88534235.03,93.71,78.05,36.21,22.0,9.69,1685.32,2024-07-04T00:04:57Z,535
536,turpis nec euismod scelerisque quam,nunc commodo placerat praesent blandit,751551.13,84.58,229.34,43.68,68.0,89.08,-17.18,2024-11-07T20:55:24Z,536
537,sem fusce consequat nulla nisl,parturient montes nascetur,46261124.33,78.71,346.37,16.7,13.34,84.22,2251.74,2024-10-18T00:32:34Z,537
538,lacus at turpis donec posuere,quis orci eget orci vehicula,21463117.76,58.98,202.13,74.47,36.38,42.94,5386.58,2024-08-08T10:40:44Z,538
539,leo odio condimentum id,integer non velit,9051006.92,14.8,343.11,51.08,91.13,74.81,694.24,2024-08-20T00:04:28Z,539
540,dolor sit amet consectetuer adipiscing,sodales sed tincidunt eu felis,18364784.78,30.19,291.76,23.86,26.52,94.58,2910.63,2024-03-30T13:11:58Z,540
541,nisl nunc nisl duis,odio odio elementum,3725457.65,27.81,144.37,17.67,34.4,56.11,4877.1,2024-02-20T21:42:50Z,541
542,lacus curabitur at ipsum,odio curabitur convallis duis,43264966.23,4.83,62.71,23.38,52.69,99.72,-14.49,2024-06-22T04:45:52Z,542
543,curae duis faucibus accumsan,ut mauris eget massa,96419064.19,41.97,352.18,30.18,95.05,48.14,784.83,2024-10-01T02:43:58Z,543
544,felis eu sapien cursus,accumsan tellus nisi eu orci,99991079.47,35.67,183.23,25.77,59.19,40.4,5352.86,2024-07-31T23:59:45Z,544
545,in faucibus orci,ligula suspendisse ornare,79813424.98,33.07,141.52,56.84,12.91,39.39,3306.38,2024-04-04T09:41:51Z,545
546,erat curabitur gravida nisi,duis faucibus accumsan odio curabitur,84405105.97,65.27,65.16,49.35,97.92,80.02,3861.58,2024-05-29T08:00:23Z,546
547,faucibus orci luctus,sollicitudin ut suscipit a feugiat,81518856.8,30.05,77.1,74.78,89.2,36.55,307.35,2025-01-13T02:45:15Z,547
548,est quam pharetra,sed vel enim sit amet,59371928.5,15.74,56.24,40.27,40.2,25.21,1363.46,2024-08-27T12:09:30Z,548
549,potenti cras in purus,curae donec pharetra magna vestibulum,56470375.49,38.08,304.73,30.89,42.16,81.2,4609.8,2024-10-03T19:55:10Z,549
550,erat volutpat in congue etiam,praesent blandit nam nulla integer,29246109.72,50.99,338.69,1.34,99.8,66.51,734.25,2024-11-01T20:35:02Z,550
551,luctus et ultrices posuere,ultrices aliquet maecenas,47557495.47,59.41,168.13,22.87,46.84,35.74,2630.61,2024-06-19T19:09:22Z,551
552,ut massa volutpat convallis morbi,eu massa donec,70816829.9,80.54,277.42,86.53,40.6,39.13,3554.66,2025-01-22T18:57:19Z,552
553,in quis justo,in imperdiet et,93341243.12,69.16,276.77,66.7,30.78,68.85,5572.54,2024-05-29T15:48:16Z,553
554,luctus cum sociis natoque penatibus,nulla justo aliquam quis turpis,55704910.2,96.05,176.24,41.7,68.39,47.23,5129.67,2024-08-20T15:34:23Z,554
555,quam a odio in hac,molestie nibh in,95609575.82,71.38,214.15,93.48,20.84,59.99,1973.38,2024-04-09T08:52:45Z,555
556,consequat morbi a ipsum integer,sapien ut nunc vestibulum,27253494.28,55.08,49.06,7.13,86.55,85.26,3736.63,2024-04-01T09:32:31Z,556
557,convallis nunc proin at,orci luctus et ultrices posuere,71852885.49,44.5,213.5,89.6,6.85,53.55,3741.36,2024-06-20T19:29:28Z,557
558,et commodo vulputate justo,ligula pellentesque ultrices phasellus,72115818.97,18.06,304.17,16.05,84.22,39.39,936.69,2024-05-31T19:59:24Z,558
559,nisl nunc nisl duis,magna ac consequat metus,70505959.48,98.8,237.63,69.36,28.04,9.05,4495.01,2024-03-29T19:19:10Z,559
560,sapien arcu sed augue aliquam,nascetur ridiculus mus etiam vel,38274799.38,24.19,68.77,75.23,62.25,81.76,680.6,2024-04-21T12:35:06Z,560
561,quis lectus suspendisse potenti in,sit amet consectetuer adipiscing,20394156.12,2.35,25.78,46.9,53.14,1.99,2438.6,2024-03-15T12:56:22Z,561
562,in congue etiam justo,libero nam dui proin,30309595.37,1.21,166.96,21.53,25.77,24.2,2988.73,2024-05-28T19:05:00Z,562
563,eros viverra eget congue,justo sollicitudin ut,49888608.64,21.74,63.29,64.57,27.86,48.37,4636.93,2024-07-18T21:59:26Z,563
564,mauris vulputate elementum,luctus cum sociis natoque,3828692.07,60.16,272.95,83.76,38.04,57.71,1854.9,2024-10-12T00:35:54Z,564
565,lectus vestibulum quam sapien varius,volutpat sapien arcu sed,8259008.82,17.5,331.83,18.93,9.47,98.1,4681.62,2024-06-15T08:58:32Z,565
566,pellentesque volutpat dui maecenas,nonummy integer non,22388898.05,72.72,22.45,3.98,97.71,35.01,2435.02,2024-02-11T15:18:13Z,566
567,enim leo rhoncus sed,montes nascetur ridiculus mus,35246627.4,80.2,69.06,55.16,74.63,34.0,5262.07,2025-01-30T00:10:31Z,567
