id,serial_number,battery_name,weight,capacity,original_power_capability,expected_endoflife,manufactured_date,height,width,length,manufactured_city,manufactured_street,manufactured_number,manufactured_zipcode,material_id,safety_features_id,manufacturer_id
344,+344,+344,336468.548,266797003,4361971273,4/15/2024,10/30/2024,2452.24,2929.59,9674.79,Tambarangan,35 Fairfield Park,1904,344344,344,2,344
345,+345,+345,366966.615,306466826,59135096,6/12/2024,5/6/2024,8037.73,6986.41,9291.28,Miki,60 3rd Center,22169,345345,345,2,345
346,+346,+346,418548.941,730078017,7096210705,6/12/2024,9/13/2024,3007.01,5291.93,6521.81,Ozimek,0 Holmberg Trail,3727,346346,346,3,346
347,+347,+347,61159.947,1785090714,6123031497,12/5/2024,7/25/2024,244.09,7890.9,9272.55,Valdemārpils,0 Sunbrook Avenue,24761,347347,347,3,347
348,+348,+348,809561.671,7842959012,9814255253,12/23/2024,8/13/2024,2887.94,8850.29,1503.67,Novais,4 Judy Park,103,348348,348,3,348
349,+349,+349,36925.369,2047377418,3297570313,10/10/2024,4/15/2024,8552.96,3964.17,5898.17,Salegading,24 Fairfield Junction,30793,349349,349,1,349
350,+350,+350,249423.897,4984127636,4311055682,5/15/2024,8/19/2024,2225.09,4013.99,7546.63,Punata,5 Merry Junction,11061,350350,350,1,350
351,+351,+351,929539.652,2053393431,5446832514,2/23/2024,4/5/2024,7462.34,4381.71,9925.5,Noling,791 Barnett Junction,26772,351351,351,1,351
352,+352,+352,424612.803,8441922293,6503185188,9/28/2024,1/14/2025,3905.93,4051.5,1580.35,Youyang,61 Bluestem Street,26877,352352,352,2,352
353,+353,+353,502269.73,3944113954,8889832911,2/24/2024,3/1/2024,1036.29,914.68,3378.14,Lamut,7769 Pleasure Hill,10210,353353,353,2,353
354,+354,+354,959443.891,6086984660,5676446239,10/2/2024,8/5/2024,3303.56,9577.47,7608.51,Blokdesa Situgede,20 Ruskin Drive,29134,354354,354,1,354
355,+355,+355,610656.132,5660219618,4762027975,7/17/2024,10/29/2024,2438.95,8231.23,4885.83,Nugas,485 Hazelcrest Crossing,26089,355355,355,2,355
356,+356,+356,833725.652,5794489366,4419906330,10/4/2024,3/22/2024,662.9,8990.26,1898.04,Zhichu,08 Crest Line Plaza,4046,356356,356,3,356
357,+357,+357,639016.664,8598860071,2878835575,7/6/2024,9/27/2024,4508.89,6939.93,5946.27,Kansas City,9736 Farwell Terrace,7074,357357,357,2,357
358,+358,+358,837779.945,1272952318,5396520935,9/7/2024,10/30/2024,5695.99,1922.83,5535.85,Messina,101 Southridge Street,21118,358358,358,3,358
359,+359,+359,5774.597,2351119481,7693129997,5/30/2024,7/10/2024,3451.48,2153.39,9143.41,Sukorambi,3601 Northport Way,5498,359359,359,3,359
360,+360,+360,166154.83,4613158432,6705498497,6/13/2024,5/1/2024,5104.08,3470.26,4531.08,Karafao,1 Kim Crossing,22134,360360,360,1,360
361,+361,+361,362086.877,1521036679,8952988317,8/12/2024,7/30/2024,2511.61,3781.73,2195.83,Loma Alta,7 Dunning Road,31357,361361,361,1,361
362,+362,+362,506071.755,5128647287,3160385645,1/21/2025,3/2/2024,9738.05,4100.15,923.06,Florence,43 Miller Alley,2405,362362,362,3,362
363,+363,+363,562170.052,9729498468,8416588283,11/18/2024,3/5/2024,2368.94,2784.69,8065.82,Xambabazar,9 Stephen Terrace,28800,363363,363,2,363
364,+364,+364,361317.024,5666674001,1240745165,12/24/2024,7/27/2024,2706.12,3799.62,3079.74,Sokolovyy,895 Heffernan Center,1130,364364,364,3,364
365,+365,+365,728531.741,6491750882,915698188,4/27/2024,11/9/2024,89.53,5230.71,1011.6,Puyehue,79664 Debra Center,3749,365365,365,1,365
366,+366,+366,580034.978,5685081972,1811661337,6/1/2024,10/29/2024,2068.31,6782.53,509.51,Laidian,72 Shoshone Place,10697,366366,366,2,366
367,+367,+367,437941.496,6511832217,185705853,8/18/2024,3/24/2024,9725.2,310.18,4657.29,Cockburn Town,145 Jackson Circle,2468,367367,367,2,367
368,+368,+368,279240.98,7359379412,6693419474,10/18/2024,6/11/2024,6706.16,9664.39,3274.35,Kashiwa,7384 Havey Circle,5933,368368,368,3,368
369,+369,+369,842308.533,496351353,5300537036,8/17/2024,2/21/2024,5101.46,3379.02,8893.1,Gading,69918 Cascade Place,7247,369369,369,3,369
370,+370,+370,450425.833,8118879433,8321290252,9/6/2024,6/15/2024,1592.91,454.63,2150.77,Karvia,568 Tomscot Circle,22340,370370,370,3,370
371,+371,+371,672788.51,2048695737,2589872705,1/30/2025,5/25/2024,6645.18,3098.08,3026.68,Guangshan Chengguanzhen,20443 Springview Plaza,28887,371371,371,3,371
372,+372,+372,62575.806,5901649687,3230999819,4/20/2024,7/6/2024,1465.88,745.5,9546.88,Lazaro Cardenas,64 Holmberg Way,3622,372372,372,1,372
373,+373,+373,60982.504,8661725192,569624209,4/21/2024,6/24/2024,5599.18,9156.79,1530.15,Xundian,09033 Vernon Road,22655,373373,373,1,373
374,+374,+374,107733.156,6374141859,6113116376,4/22/2024,3/22/2024,373.55,9373.25,8006.89,El Paso,79 Old Shore Crossing,24499,374374,374,3,374
375,+375,+375,553791.226,5598487812,4980808991,8/29/2024,5/12/2024,4008.26,5254.97,9107.52,Shuiyuesi,372 Little Fleur Circle,1594,375375,375,3,375
376,+376,+376,451760.505,7741073246,9939641411,6/30/2024,2/20/2024,4172.28,7019.42,6761.89,Cigembor,2561 Charing Cross Hill,11136,376376,376,3,376
377,+377,+377,348910.634,4676897870,8000087407,12/10/2024,12/25/2024,7729.92,3174.53,7637.43,Igbo Ora,247 Pennsylvania Avenue,27845,377377,377,1,377
378,+378,+378,337078.845,354066931,3271904264,3/17/2024,6/27/2024,8182.53,5181.54,2006.04,Chengguan,249 Dorton Street,8080,378378,378,2,378
379,+379,+379,87329.966,242314140,8322430061,10/2/2024,8/18/2024,9672.93,896.52,9406.27,Gyeongsan-si,4425 Dixon Pass,22580,379379,379,1,379
380,+380,+380,266738.281,6343584620,7202650255,11/12/2024,7/20/2024,125.39,7435.86,645.08,Caicedonia,5 Kingsford Crossing,8864,380380,380,1,380
381,+381,+381,53434.803,1480539205,7770786154,1/23/2025,8/18/2024,5524.74,2865.12,1431.26,Poshnje,2513 Oriole Court,21314,381381,381,1,381
382,+382,+382,681631.364,5118141181,2304847666,4/6/2024,3/11/2024,8046.53,1082.22,7991.59,Jibu,3 Hanover Terrace,29285,382382,382,1,382
383,+383,+383,915800.651,5739164869,2079573185,7/17/2024,11/11/2024,7798.74,2011.51,5933.08,Všeruby,6 Annamark Lane,20759,383383,383,1,383
384,+384,+384,377148.501,3799037624,5845607380,10/30/2024,7/21/2024,8171.71,2616.85,9906.36,Limbalod,3 Becker Place,26614,384384,384,1,384
385,+385,+385,961262.289,1995966149,8847018476,11/15/2024,9/3/2024,3451.34,8125.21,5452.66,Naranjo,20 Harper Way,8863,385385,385,1,385
386,+386,+386,265667.84,2568158251,4873597676,12/11/2024,7/7/2024,5644.66,7783.4,9800.83,Xinghua,1 Manufacturers Street,18097,386386,386,2,386
387,+387,+387,761446.946,352541071,5245976291,10/15/2024,1/8/2025,1178.95,541.78,7974.35,Sanqishi,40338 Bayside Drive,2230,387387,387,2,387
388,+388,+388,880745.286,6259896257,5023696211,7/8/2024,3/22/2024,6986.92,4927.83,7144.09,Krasnoarmiys’k,30 Porter Terrace,240,388388,388,1,388
389,+389,+389,411772.178,7987016656,3659866806,11/4/2024,8/31/2024,6126.58,3358.93,2279.51,Laç,497 Barnett Crossing,28490,389389,389,3,389
390,+390,+390,820246.188,141862000,7795601364,2/26/2024,6/3/2024,8055.96,699.55,8425.51,Ovalle,76 Meadow Ridge Center,3593,390390,390,2,390
391,+391,+391,187351.313,6414682647,339664000,10/15/2024,2/29/2024,458.27,6887.02,9075.41,Labuhan,1655 Merchant Plaza,18502,391391,391,2,391
392,+392,+392,369583.46,6814255404,6143795335,10/17/2024,5/12/2024,7321.0,4444.03,9044.68,Sophia Antipolis,7400 Summer Ridge Trail,27878,392392,392,2,392
393,+393,+393,890673.723,6328390882,6314180295,3/10/2024,8/28/2024,7194.08,7620.1,5697.91,Ulee Gle,23 Kinsman Plaza,17686,393393,393,2,393
394,+394,+394,276775.092,9324704631,6039663847,9/7/2024,5/26/2024,5321.85,1322.67,1170.81,Issoudun,0948 Prairieview Crossing,23107,394394,394,1,394
395,+395,+395,109087.854,4581658575,3574278862,1/13/2025,1/13/2025,1286.65,3855.7,840.12,Podporozh’ye,8 Dunning Terrace,21621,395395,395,1,395
396,+396,+396,603698.709,9410235663,7204702901,7/18/2024,4/28/2024,6524.79,3838.41,8305.56,Vladivostok,11083 Spaight Street,8199,396396,396,2,396
397,+397,+397,827762.245,4854095932,5527334343,9/26/2024,11/8/2024,3322.76,4825.72,9989.94,Kanshan,1 Grim Place,285,397397,397,3,397
398,+398,+398,287744.745,4632657290,725217483,11/22/2024,4/30/2024,3768.37,5747.87,9954.79,Targuist,10 Garrison Terrace,15210,398398,398,1,398
399,+399,+399,427025.486,2921260059,5191647428,5/12/2024,5/8/2024,3399.72,1002.5,142.13,Jiji,91 Monica Hill,20163,399399,399,3,399
400,+400,+400,750901.681,2642223503,5016018888,6/18/2024,3/27/2024,5415.03,7000.19,7219.52,Dante Delgado,868 Fuller Lane,4218,400400,400,1,400
401,+401,+401,746564.735,669319672,8800855649,8/3/2024,4/6/2024,8794.17,8580.63,2593.34,Jingnao,872 Blaine Avenue,17467,401401,401,1,401
402,+402,+402,319523.01,5928358520,8976498608,4/5/2024,8/23/2024,6754.09,9075.41,2676.4,Alepoú,7132 Farwell Hill,6479,402402,402,1,402
403,+403,+403,857079.527,9612598876,3038166337,7/1/2024,6/13/2024,1233.51,1747.64,6340.5,Tiling,4642 Lotheville Center,28266,403403,403,3,403
404,+404,+404,646083.595,9638745374,4583451881,9/17/2024,11/6/2024,7540.17,3626.93,3607.49,Pajoreja,6026 Jenna Crossing,18322,404404,404,2,404
405,+405,+405,528415.603,3389130625,7211678275,4/17/2024,11/27/2024,273.98,7675.41,2898.02,Stockholm,33417 Sloan Center,10846,405405,405,3,405
406,+406,+406,51260.162,4001333897,8864075946,12/24/2024,4/7/2024,7964.91,5100.03,1648.36,Costa Nova do Prado,7 Golf View Street,24171,406406,406,1,406
407,+407,+407,500184.073,4004594971,5513994802,4/2/2024,7/6/2024,4181.98,5968.45,378.44,Maribong,62073 Garrison Junction,15116,407407,407,1,407
408,+408,+408,594563.403,3508887575,4428088614,10/23/2024,7/25/2024,3771.39,2851.38,4825.25,Xieshui,68839 Arizona Terrace,31979,408408,408,3,408
409,+409,+409,326675.635,1952425582,2374215921,10/11/2024,5/2/2024,8820.58,469.72,6237.17,Sanqishi,29909 Express Hill,6457,409409,409,1,409
410,+410,+410,876318.375,4156111770,1247614180,2/13/2024,1/9/2025,159.39,2201.75,1212.85,Huancapi,03 Nelson Crossing,31871,410410,410,3,410
411,+411,+411,538994.898,8815645203,6433848697,7/18/2024,12/20/2024,5369.03,1368.83,5575.17,Lavras,54 Towne Street,26742,411411,411,2,411
412,+412,+412,555352.674,6067892789,2929562773,11/8/2024,1/6/2025,4194.55,4711.6,8958.66,Guanlu,604 Stang Place,24379,412412,412,3,412
413,+413,+413,540906.018,6042323172,8117648557,10/30/2024,12/13/2024,4120.31,4064.11,2836.36,Oeoh,083 Waywood Place,2361,413413,413,1,413
414,+414,+414,321788.059,3491446237,6915101187,12/17/2024,6/9/2024,9585.32,856.86,5607.9,Nabīnagar,0 Dennis Circle,9721,414414,414,3,414
415,+415,+415,97042.642,7951741418,5812557580,2/21/2024,8/1/2024,8091.33,2243.49,9141.19,Przyborów,636 Bluejay Parkway,32146,415415,415,1,415
416,+416,+416,988883.591,9265248415,4057789886,4/22/2024,6/5/2024,6559.61,1772.94,2241.32,Sioux City,050 Lakeland Circle,31056,416416,416,3,416
417,+417,+417,981512.057,1696610508,898436445,12/28/2024,11/12/2024,3140.75,5815.27,7381.46,Sayḩūt,6589 Veith Avenue,1669,417417,417,1,417
418,+418,+418,533398.294,797902428,1330409613,6/10/2024,1/23/2025,4906.97,7915.68,9812.86,Stadtbredimus,674 Dapin Park,21043,418418,418,3,418
419,+419,+419,549201.344,2596706161,7111983379,5/12/2024,9/20/2024,1072.8,6758.17,4142.76,Kagadi,78 Artisan Plaza,2345,419419,419,3,419
420,+420,+420,912123.5,2591920915,6369303748,6/7/2024,8/13/2024,8940.69,7493.14,23.44,Hekou,15989 Lyons Plaza,17275,420420,420,1,420
421,+421,+421,775137.576,8706344854,5767414052,5/30/2024,9/11/2024,4954.78,6929.45,925.98,Plandirejo,3129 Maywood Lane,8883,421421,421,3,421
422,+422,+422,96105.903,6800321373,4142662181,9/28/2024,7/16/2024,4334.04,1151.35,7779.76,Carreira,36938 Emmet Trail,25957,422422,422,3,422
423,+423,+423,127392.959,8789531488,6579654396,10/17/2024,3/16/2024,6407.69,325.16,854.1,Zyuzino,6732 Susan Road,7785,423423,423,2,423
424,+424,+424,181138.94,4564918545,4730468662,8/7/2024,4/23/2024,5973.84,8067.11,4164.78,Laoag,27 Kinsman Pass,27341,424424,424,3,424
425,+425,+425,317754.367,5208183729,4746086213,7/4/2024,6/23/2024,4018.67,6998.12,2222.37,Liulimiao,45670 Sauthoff Avenue,25984,425425,425,3,425
426,+426,+426,251532.584,3902285166,8004561301,7/11/2024,5/28/2024,9613.75,8502.65,8788.62,Santa Rosa,715 Loeprich Parkway,7569,426426,426,2,426
427,+427,+427,708097.6,4147498405,8921172023,9/12/2024,1/31/2025,5235.68,9721.43,2703.62,Tipaz,2 Redwing Place,17107,427427,427,1,427
428,+428,+428,712699.625,117469696,4030255044,9/23/2024,2/15/2024,3929.43,7450.98,517.36,Nova Petrópolis,2 Orin Terrace,30333,428428,428,3,428
429,+429,+429,460410.453,3987587365,3072328900,7/29/2024,5/3/2024,8177.33,6804.72,6052.73,Bolong,608 Ridge Oak Pass,20737,429429,429,2,429
430,+430,+430,133706.062,6420219296,9365967225,12/1/2024,8/22/2024,4038.89,5624.51,1714.45,Karangwaru,66100 Sage Lane,11347,430430,430,3,430
431,+431,+431,365645.538,9558538553,7835592017,12/26/2024,8/31/2024,2589.39,8510.12,8246.57,Longfengshan,7583 Marquette Parkway,20783,431431,431,2,431
432,+432,+432,993719.54,7401824225,7088422730,6/26/2024,2/21/2024,578.75,559.37,1856.93,Alvide,437 Anzinger Alley,30672,432432,432,1,432
433,+433,+433,312684.967,8752805889,1919432602,8/20/2024,5/12/2024,6061.76,5687.98,6745.81,Ārān Bīdgol,70 Pleasure Park,23553,433433,433,2,433
434,+434,+434,347510.581,100115939,3209801601,4/19/2024,8/21/2024,6775.99,4687.42,912.16,Gorodets,608 Blue Bill Park Pass,32608,434434,434,1,434
435,+435,+435,477226.134,1973843078,9532695490,2/14/2024,12/19/2024,8102.0,7960.19,4873.2,Mariquita,0170 Buell Junction,8880,435435,435,3,435
436,+436,+436,698019.62,2711700539,3179235008,7/26/2024,9/14/2024,9643.81,744.33,5029.34,Dabancheng,197 Oak Terrace,25948,436436,436,3,436
437,+437,+437,607299.419,3399218431,9559822485,4/27/2024,7/21/2024,4573.87,7031.05,8922.44,Reckange-sur-Mess,0127 Dovetail Park,8624,437437,437,3,437
438,+438,+438,744040.761,5626436548,9799007638,6/11/2024,12/30/2024,2006.45,563.94,2928.28,Caxambu,8935 Helena Avenue,25396,438438,438,2,438
439,+439,+439,366875.4,8502453090,1338770880,11/19/2024,11/9/2024,2337.59,1193.79,5813.76,Ermidas do Sado,976 Veith Way,2854,439439,439,3,439
440,+440,+440,585656.992,141385726,9913167388,7/7/2024,3/12/2024,7794.73,587.95,8596.32,Skuodas,49 Porter Alley,19246,440440,440,3,440
441,+441,+441,25743.17,1164898165,750959331,1/10/2025,4/7/2024,9398.12,2534.44,528.22,San Miguel,08 Homewood Junction,7725,441441,441,2,441
442,+442,+442,777189.307,1595389761,9233411134,7/1/2024,6/25/2024,5981.12,3359.93,3685.92,Kaznějov,290 Meadow Ridge Plaza,18225,442442,442,2,442
443,+443,+443,433141.078,3989030096,8017096992,11/21/2024,1/27/2025,5059.65,3955.85,1602.6,Balucuc,2 Morrow Place,17440,443443,443,3,443
444,+444,+444,755253.588,3640303176,8896819930,3/4/2024,12/20/2024,8894.36,3932.09,3431.96,Zaniemyśl,45 Blaine Junction,3623,444444,444,2,444
445,+445,+445,648130.232,920492151,8305550982,9/5/2024,9/2/2024,9398.58,7284.3,2503.35,Mortka,6299 Glendale Circle,17015,445445,445,1,445
446,+446,+446,896502.393,8552645725,3013385991,1/9/2025,4/30/2024,1828.97,6469.08,1609.57,Brumadinho,949 Hallows Street,18681,446446,446,3,446
447,+447,+447,850099.354,5512250404,3418540753,12/22/2024,8/7/2024,7611.07,712.21,7342.19,Kalumpang,7 American Court,20951,447447,447,2,447
448,+448,+448,66132.311,2980270771,8089588089,1/26/2025,12/29/2024,8358.08,1186.6,743.47,Al Mazra‘ah ash Sharqīyah,78573 Red Cloud Trail,6644,448448,448,3,448
449,+449,+449,876348.155,2929245915,8238890137,10/4/2024,10/6/2024,8719.51,4840.59,9258.6,Krajenka,484 Melvin Circle,9844,449449,449,3,449
450,+450,+450,877212.494,8479190456,6658494524,11/23/2024,2/2/2025,8746.38,2443.89,4841.01,Liverpool,9209 Melby Way,19690,450450,450,1,450
451,+451,+451,7598.659,7208208742,8091290913,7/9/2024,4/23/2024,446.35,9526.47,1221.28,Arroio do Meio,87 Anzinger Center,23159,451451,451,3,451
452,+452,+452,995256.277,2296638837,3162039080,4/23/2024,1/18/2025,1156.6,4174.32,4661.91,Samamiya,8659 Comanche Way,16914,452452,452,1,452
453,+453,+453,562863.692,7785488197,6498470447,1/22/2025,6/29/2024,491.64,8650.95,5791.88,Guará,8928 Hansons Circle,12456,453453,453,1,453
454,+454,+454,462131.635,4706817944,6990577475,6/17/2024,11/11/2024,9812.51,1045.55,3236.53,Roanoke,01 Monterey Hill,13253,454454,454,3,454
455,+455,+455,300703.779,7930710082,5458797939,10/24/2024,5/3/2024,7119.42,9100.63,7923.19,Kamenica,5 Burning Wood Plaza,14353,455455,455,3,455
456,+456,+456,128321.918,5936805611,2325537694,2/9/2025,6/8/2024,3149.2,5852.35,9213.94,Sangmélima,0023 Di Loreto Trail,22215,456456,456,2,456
457,+457,+457,758474.683,611541852,8786807699,11/14/2024,5/19/2024,6055.1,6959.07,5313.97,Beigucheng,17299 Darwin Court,18079,457457,457,1,457
458,+458,+458,381497.613,4867984540,6712657729,7/28/2024,6/23/2024,1428.05,8257.18,7377.87,Adstock,3394 Sachtjen Crossing,22300,458458,458,3,458
459,+459,+459,351282.456,697633830,7427959403,3/19/2024,7/26/2024,5954.9,9347.5,1882.32,Staropyshminsk,956 Forest Run Place,15936,459459,459,3,459
460,+460,+460,135540.341,6186044088,5432707340,1/28/2025,7/7/2024,1636.38,2923.73,3571.51,Pulaupinang,7 Shoshone Parkway,4098,460460,460,3,460
461,+461,+461,335405.553,5549764018,5584071066,1/23/2025,4/9/2024,6405.75,222.31,540.52,Tlogowungu,1720 Schlimgen Park,29496,461461,461,3,461
462,+462,+462,639659.697,7993915779,3957238177,12/14/2024,1/29/2025,4492.38,1795.4,5885.14,Gbarnga,850 Donald Pass,20806,462462,462,3,462
463,+463,+463,219513.286,248311871,8131551923,6/23/2024,2/26/2024,7583.48,1048.58,9001.89,Kněžpole,53424 Debra Park,31107,463463,463,3,463
464,+464,+464,242618.7,4214874545,8615714886,7/8/2024,8/12/2024,1.19,9570.46,8063.05,Vouani,33004 Kropf Circle,16141,464464,464,1,464
465,+465,+465,184542.459,3586621837,5082416692,7/27/2024,9/28/2024,2777.57,5267.73,6951.61,Couço,704 Montana Court,23347,465465,465,2,465
466,+466,+466,593576.266,1760414231,8403030037,1/27/2025,11/23/2024,9894.98,3415.6,5828.68,Rušanj,6 Emmet Plaza,1190,466466,466,1,466
467,+467,+467,120948.634,3246987060,7094506250,2/23/2024,4/6/2024,7386.13,3931.83,5755.17,Zhuoshui,135 Spaight Street,11719,467467,467,2,467
468,+468,+468,945616.685,8270132517,7381492457,6/29/2024,9/6/2024,8225.1,733.96,4078.94,Västerås,62 Montana Terrace,7779,468468,468,1,468
469,+469,+469,256589.532,1275082976,8584529029,3/17/2024,4/24/2024,2842.81,8672.62,3852.12,Luqiao,8071 Rusk Crossing,7621,469469,469,2,469
470,+470,+470,572808.186,7703687551,5687444439,1/6/2025,4/6/2024,8518.3,6074.48,1430.28,San Francisco,13 Old Shore Drive,29576,470470,470,2,470
471,+471,+471,577637.639,771009792,6140618904,10/6/2024,7/27/2024,3527.5,5757.74,1171.46,Zheyuan,2732 Straubel Terrace,16870,471471,471,2,471
472,+472,+472,103158.933,412819333,6429273460,2/17/2024,4/17/2024,9653.0,2334.05,8511.56,Tagbacan Ibaba,833 Nancy Center,32015,472472,472,1,472
473,+473,+473,445483.892,3388378999,6847354491,6/17/2024,7/8/2024,7180.81,6255.31,1539.11,Puerto Cabezas,2347 Manley Pass,19308,473473,473,1,473
474,+474,+474,623549.329,871027119,8010926911,10/5/2024,11/7/2024,4637.12,9745.23,372.46,Lingbeizhou,31 Golf View Hill,15593,474474,474,3,474
475,+475,+475,676329.138,8123789406,490711165,1/17/2025,10/6/2024,22.89,1757.07,8265.24,Dayong,269 Little Fleur Avenue,27903,475475,475,3,475
476,+476,+476,872170.19,7690335134,5946840431,12/7/2024,8/4/2024,9960.4,5285.45,9185.24,Manay,7201 Loftsgordon Hill,24687,476476,476,1,476
477,+477,+477,768987.974,8575900672,7676771241,6/13/2024,8/13/2024,4699.06,1995.04,3038.99,Jince,5 Milwaukee Avenue,23851,477477,477,3,477
478,+478,+478,866591.334,8322006475,8853900633,12/8/2024,1/30/2025,4617.88,1991.2,347.0,Mỹ Tho,164 Northwestern Crossing,1853,478478,478,3,478
479,+479,+479,888508.721,911552808,8112227866,3/16/2024,8/24/2024,8708.43,2142.05,8729.13,Liancheng,53 1st Parkway,4209,479479,479,3,479
480,+480,+480,812971.103,8255251493,5629787305,11/24/2024,7/18/2024,6740.63,7594.12,7423.23,Cabriz,7 Florence Center,13224,480480,480,1,480
481,+481,+481,611036.909,6801111214,6708664348,11/2/2024,4/25/2024,9108.93,4358.09,8223.37,Skhodnya,10742 Birchwood Hill,17784,481481,481,3,481
482,+482,+482,688639.95,3010362787,2267417556,12/4/2024,10/11/2024,1874.78,20.75,7043.15,Lusacan,0 Westridge Trail,18542,482482,482,2,482
483,+483,+483,197220.508,8758501889,9619616502,3/14/2024,11/25/2024,5800.77,6754.92,539.02,Sahline,9598 Harper Court,29586,483483,483,1,483
484,+484,+484,111383.194,7480100950,7962975852,5/28/2024,8/28/2024,6504.62,126.62,8613.38,Psary,7793 Talisman Crossing,18959,484484,484,3,484
485,+485,+485,438740.021,8670279971,6551330510,6/11/2024,11/11/2024,5048.86,5088.16,7471.01,Huaccana,5 Little Fleur Avenue,583,485485,485,3,485
486,+486,+486,438281.879,3795786420,7369102657,12/18/2024,3/17/2024,4039.05,1452.84,4011.89,Keda,2 Old Gate Center,20280,486486,486,3,486
487,+487,+487,9324.846,3547497451,5032861092,9/16/2024,3/11/2024,6972.55,671.19,2119.75,Citeureup,375 Waubesa Center,24563,487487,487,1,487
488,+488,+488,367902.164,9351947086,5210367036,4/7/2024,3/16/2024,5581.92,6243.25,9528.74,Tal’ne,9512 Anderson Street,8762,488488,488,3,488
489,+489,+489,426995.469,3671561886,7128492400,11/29/2024,11/18/2024,2387.85,3845.85,6099.57,Uyugan,8366 Nobel Circle,19426,489489,489,3,489
490,+490,+490,550282.104,6960345884,8736853561,4/18/2024,5/16/2024,1439.41,3151.24,4817.72,San Jose,620 Oak Junction,25884,490490,490,3,490
491,+491,+491,600203.827,2838801737,9499960493,9/21/2024,6/29/2024,4820.56,4100.71,3453.75,Shitang,066 Sachs Park,27297,491491,491,1,491
492,+492,+492,476093.882,5432255723,4825892649,9/28/2024,5/14/2024,3490.6,5132.8,7847.09,Krajan Baru,63 Randy Terrace,4269,492492,492,3,492
493,+493,+493,504119.025,3749694948,5522112966,2/14/2024,1/2/2025,7446.14,2209.45,7154.87,Migues,70344 Brickson Park Avenue,30978,493493,493,2,493
494,+494,+494,885183.507,2909146863,8804002907,8/30/2024,5/2/2024,4120.13,836.07,4429.64,Veřovice,064 Susan Avenue,12076,494494,494,3,494
495,+495,+495,999731.74,933383846,8230790656,12/1/2024,6/27/2024,4776.01,3621.22,4164.68,Wushan,07 Meadow Vale Circle,13063,495495,495,1,495
496,+496,+496,319868.719,8454085474,6228024905,4/3/2024,12/4/2024,9068.13,7559.37,8455.32,Chinameca,0164 Kim Crossing,26987,496496,496,1,496
497,+497,+497,437929.231,8404944923,8376988311,9/23/2024,1/3/2025,9710.93,4444.52,8114.74,Ōtsu-shi,9820 Vermont Terrace,19098,497497,497,2,497
498,+498,+498,262762.715,7756012940,7977219273,6/16/2024,5/24/2024,6047.58,5696.62,1228.07,Oslo,9 Mandrake Park,3055,498498,498,3,498
499,+499,+499,525803.812,5579966027,3112564404,7/5/2024,11/30/2024,274.63,4641.74,6048.19,Sidikalang,466 Anhalt Point,18348,499499,499,2,499
500,+500,+500,908107.81,444155703,4599247822,3/30/2024,8/13/2024,9524.4,7081.44,3194.84,Caparrapí,3 Coolidge Court,23489,500500,500,3,500
501,+501,+501,762932.282,8890402939,4084103253,12/21/2024,11/18/2024,649.06,5245.12,7623.79,Dessalines,31390 Logan Way,7660,501501,501,3,501
502,+502,+502,150159.678,2843683657,7402735761,10/2/2024,2/7/2025,8039.84,1471.58,3035.92,Dianfang,8 Express Drive,25732,502502,502,2,502
503,+503,+503,58790.952,6848478008,748525212,2/15/2024,4/24/2024,296.9,4248.81,3798.81,Oakland,1957 Pine View Crossing,14417,503503,503,3,503
504,+504,+504,599756.027,842278659,7188441158,2/28/2024,8/20/2024,8958.23,5050.03,5325.7,Firminópolis,52 Sage Circle,28035,504504,504,2,504
505,+505,+505,775294.287,1833722692,5621139441,4/15/2024,6/10/2024,5563.47,7698.81,3209.78,Tagdanua,0348 5th Terrace,32512,505505,505,1,505
506,+506,+506,43692.753,3479773592,9136740111,8/22/2024,7/2/2024,8380.01,6101.75,8550.08,Washington,45 Texas Street,1513,506506,506,3,506
507,+507,+507,703875.016,4282558399,7028449580,8/19/2024,6/9/2024,6997.29,4899.95,2745.5,Rēzekne,31292 Hayes Street,4065,507507,507,1,507
508,+508,+508,227839.66,7612829061,4902491892,9/16/2024,2/8/2025,3500.53,466.63,7566.35,Seydi,8 La Follette Street,6825,508508,508,2,508
509,+509,+509,80119.623,2095840879,4065090547,11/13/2024,4/6/2024,3713.63,2733.22,8130.74,Xian’an,9943 Sage Court,4519,509509,509,1,509
510,+510,+510,732267.7,4230422373,6100555918,7/4/2024,4/3/2024,2709.75,9767.08,6390.0,New York City,9095 Norway Maple Way,2605,510510,510,3,510
511,+511,+511,162755.23,7110805253,7034024730,9/22/2024,1/1/2025,8446.35,2527.19,4556.87,Zhoutou,418 Reindahl Place,24892,511511,511,2,511
512,+512,+512,734678.754,776366067,9009485378,1/9/2025,11/8/2024,385.23,9000.62,6112.41,Haurpanggung,1396 Melrose Court,2863,512512,512,2,512
513,+513,+513,631148.691,5449116352,4880413838,12/27/2024,9/12/2024,7093.66,107.85,9971.53,Laszki,5123 Nevada Trail,21087,513513,513,2,513
514,+514,+514,53190.447,5081089797,7712587413,1/2/2025,10/13/2024,2479.93,5312.17,3604.34,Nahura,15 Scofield Street,12465,514514,514,2,514
515,+515,+515,47746.386,3348849738,802248404,3/28/2024,12/13/2024,9931.92,6479.07,1925.53,Säffle,3 Amoth Lane,5643,515515,515,3,515
